Time,Pos_mocap_X,Pos_mocap_Y,Pos_mocap_Z
5.82,0.115069693030205,-0.119798025400608,0.229495028355732
5.825,0.115546188099562,-0.120051116049628,0.229478423888746
5.83,0.116056246808077,-0.120368608216359,0.22945937891582
5.835,0.116499962357501,-0.120723215073865,0.229362349923105
5.84,0.116932581866845,-0.121053829918807,0.229269832488516
5.845,0.117317041020615,-0.12124220127186,0.229200092610314
5.85,0.117630566283083,-0.121318532062543,0.229197683243516
5.855,0.11799243628579,-0.121595017452186,0.229076087065186
5.86,0.118357928755035,-0.121852819454647,0.228990141111692
5.865,0.118576015898566,-0.122011612894359,0.228955810906793
5.87,0.118727859716353,-0.122130479049017,0.22893929764733
5.875,0.119216676841942,-0.122353102990501,0.228902766519175
5.88,0.119406846259974,-0.122516404009487,0.228861031455527
5.885,0.119824419522538,-0.122865383135248,0.228763061515287
5.89,0.120085042860941,-0.123141601263845,0.22865913424245
5.895,0.12031204677737,-0.123463255819432,0.228535160567828
5.9,0.120586298918913,-0.123793289007753,0.228377263765568
5.905,0.120864124932719,-0.124034974370421,0.228306853796021
5.91,0.121150105618974,-0.124384376455271,0.228164987887165
5.915,0.121404272324539,-0.124750811283692,0.228033703611726
5.92,0.121636563908876,-0.125072163944365,0.227962484659231
5.925,0.121862685834032,-0.125342769655484,0.227930722786356
5.93,0.122083272453116,-0.12562445357141,0.227870454082491
5.935,0.122284077498317,-0.125964660222876,0.227762370328834
5.94,0.12246033947006,-0.126287566486802,0.227686391240573
5.945,0.122653132315729,-0.126504556963451,0.227669695153577
5.95,0.122848457928351,-0.126798332139685,0.227772970161969
5.955,0.123014787558539,-0.127134343367663,0.228015427053766
5.96,0.123164832583988,-0.127584419652975,0.228388619199268
5.965,0.12329868625667,-0.128038469286479,0.228840515354487
5.97,0.12343532786577,-0.128503487755049,0.229463979983412
5.975,0.123557053651216,-0.129031867210384,0.230178567576114
5.98,0.123626803322742,-0.129615077290402,0.230722895312244
5.985,0.123648942543434,-0.130174895084771,0.23118976824485
5.99,0.123663670141521,-0.130622982305379,0.231809729992615
5.995,0.123747587851859,-0.13135647383188,0.232443853688261
6,0.123807818558878,-0.1318549201776,0.233173406108131
6.005,0.123836487774879,-0.132535081002497,0.233697980904479
6.01,0.123914480044236,-0.133151280273923,0.234165319318136
6.015,0.124014404302342,-0.133693315339612,0.234429336527028
6.02,0.124115701854276,-0.134152994639826,0.234589566261997
6.025,0.124221017098651,-0.134541332468326,0.234660905350964
6.03,0.124349012618248,-0.134859737445259,0.234698180387983
6.035,0.124513149345982,-0.135203342453432,0.23468110475797
6.04,0.124673812709463,-0.135763086204346,0.234368145963339
6.045,0.124826951039999,-0.135978996923765,0.234059145441375
6.05,0.125056623470993,-0.136464738526692,0.233783694410447
6.055,0.125395335641088,-0.136910828064612,0.233565253500819
6.06,0.125649381676726,-0.137229815263766,0.233426610061068
6.065,0.1259270944002,-0.137566990265272,0.233268374415295
6.07,0.126288648008685,-0.137961370765806,0.233042148433
6.075,0.126606516198739,-0.138264392205457,0.232851720759323
6.08,0.126771786217361,-0.138439019765978,0.232781818524686
6.085,0.126937056235983,-0.1386136473265,0.232711916290049
6.09,0.128024455711516,-0.139227700960106,0.232590217638448
6.095,0.128530888419234,-0.139679341975781,0.232496961773056
6.1,0.128981189916997,-0.140127601069343,0.232393868989551
6.105,0.1295442496384,-0.140506036380404,0.232298472264014
6.11,0.130034815801292,-0.140831474460377,0.232304971195084
6.115,0.13042264415276,-0.141122122236219,0.232092720115448
6.12,0.130867177131685,-0.141536913231781,0.231845554280424
6.125,0.13147259396568,-0.142074296231583,0.231784526277814
6.13,0.132083123109675,-0.142580718718217,0.231786908970348
6.135,0.132615857252135,-0.143093157907828,0.23177898092978
6.14,0.133022076506183,-0.143474221382381,0.231729880574991
6.145,0.13390510280233,-0.144121645505147,0.231726422278569
6.15,0.134547356323457,-0.144521374649242,0.231782543622014
6.155,0.135156672368641,-0.144956763919554,0.231812689810203
6.16,0.13582143490361,-0.145422137317921,0.231822927948224
6.165,0.136578515708907,-0.146190843206414,0.231708439135961
6.17,0.137354675587974,-0.146856237457208,0.231623884298473
6.175,0.138134088436966,-0.147414770590273,0.231583565745411
6.18,0.138892863234582,-0.148002645163124,0.231530585380895
6.185,0.139634657776395,-0.148593042355158,0.231449979409463
6.19,0.140451460960036,-0.149181665246239,0.231326550829681
6.195,0.141284745962502,-0.149779428128353,0.23118728143263
6.2,0.142163742882108,-0.150272670785302,0.231065258785227
6.205,0.143077146829473,-0.150902653969179,0.230943520917382
6.21,0.14400737921517,-0.151593565638103,0.23070260355532
6.215,0.14499822259619,-0.152338735569331,0.23044060287296
6.22,0.146020590527105,-0.152934323936793,0.230198445722763
6.225,0.14704570673627,-0.153552033402887,0.229959290868141
6.23,0.148063717000072,-0.154237619876842,0.229732111176576
6.235,0.149095937121764,-0.154774772068313,0.229583012406949
6.24,0.150177327971325,-0.155220265475728,0.229572766781082
6.245,0.151159078595307,-0.155738457537031,0.229603172737558
6.25,0.152114520615492,-0.156352752524258,0.229708626274138
6.255,0.153156523544472,-0.156919263874099,0.229978900032743
6.26,0.153682867184586,-0.157155978250817,0.230228591596761
6.265,0.154116026512775,-0.157334002535883,0.230473144479194
6.27,0.155347147049217,-0.158216053286284,0.23099497032318
6.275,0.155975504655651,-0.158605031021277,0.231394661345756
6.28,0.156600123623266,-0.159117556555473,0.231790149016636
6.285,0.158084958091707,-0.160502804096877,0.232944545363778
6.29,0.15870185365223,-0.160882395281802,0.233474427989138
6.295,0.159997006755288,-0.162000278785168,0.234508560897575
6.3,0.160815651322197,-0.162638451348376,0.234912309162267
6.305,0.161565274247243,-0.163454765301202,0.235246856888764
6.31,0.162335824444241,-0.164132104849677,0.235616267406795
6.315,0.163083017454968,-0.16490981495836,0.235745128220081
6.32,0.163681088940268,-0.165467767426119,0.235789828317316
6.325,0.164243968846847,-0.165877888235105,0.235841311662376
6.33,0.165013407703949,-0.166427007447968,0.235853085579808
6.335,0.165545522345979,-0.166962051902079,0.235767645789919
6.34,0.165943056293224,-0.167334847282132,0.235692532632435
6.345,0.166752945853959,-0.167890145895078,0.235578663200272
6.35,0.167335535800266,-0.168549893073026,0.235442237588299
6.355,0.167891453135358,-0.169186917134084,0.23526778436481
6.36,0.168335303347046,-0.169534985257534,0.235078057717375
6.365,0.168819818007748,-0.169986106111988,0.23492634404101
6.37,0.169310339828327,-0.170429743544981,0.234815303410154
6.375,0.169779186677502,-0.170760207287134,0.234722249398699
6.38,0.170225238968217,-0.17103961746662,0.234611345344571
6.385,0.170659518829718,-0.171422446216639,0.234447987823047
6.39,0.171147538787563,-0.172085589889148,0.2342403119995
6.395,0.171617181868236,-0.172510180709775,0.234095783039527
6.4,0.172051865621853,-0.172821104645286,0.233973392588928
6.405,0.172414047040245,-0.17319092078958,0.233841643474111
6.41,0.172943185778255,-0.173656646294351,0.233713943003823
6.415,0.173456635297087,-0.174084578583632,0.233646898225842
6.42,0.173839545763493,-0.174448882786323,0.23360644061923
6.425,0.174186528469696,-0.17485754246701,0.233541834504912
6.43,0.174533197424932,-0.175295479934503,0.233470766261655
6.435,0.174881710836518,-0.17571347515443,0.23341327086975
6.44,0.175201744956656,-0.176139309342176,0.233333223914659
6.445,0.175482106980386,-0.176518780894749,0.233267318006104
6.45,0.175787247522296,-0.177026979172794,0.233153655264482
6.455,0.176039107797198,-0.177370367529591,0.233083670046844
6.46,0.17626618090266,-0.177727142881887,0.233003979650562
6.465,0.176397997512494,-0.17786427688117,0.232943391747613
6.47,0.176499916444748,-0.177927408194301,0.232889997912086
6.475,0.176545832751291,-0.178025440368007,0.232862293562672
6.48,0.176586646806167,-0.178126652267159,0.232836929714649
6.485,0.176627460861043,-0.178227864166311,0.232811565866626
6.49,0.17666827491592,-0.178329076065463,0.232786202018602
6.495,0.176709088970796,-0.178430287964616,0.232760838170579
6.5,0.177331987715289,-0.181067169232496,0.232224193946915
6.505,0.177415336319139,-0.18163869329272,0.231968309850398
6.51,0.177445235026257,-0.182100105855305,0.231802502875258
6.515,0.177459199502739,-0.18250230641253,0.231675610845225
6.52,0.17746268926974,-0.182957291150591,0.231534940170928
6.525,0.177450885635439,-0.183485047481418,0.231358706901096
6.53,0.177415628917694,-0.183969879852098,0.231205146528841
6.535,0.177360253486914,-0.184406093763507,0.231102751851497
6.54,0.177318233056976,-0.184926118176858,0.230979963885913
6.545,0.177272836801132,-0.185476470627938,0.230851600407571
6.55,0.177206825133954,-0.186154296409771,0.230775500578631
6.555,0.177081573064638,-0.187023588073158,0.230858183226968
6.56,0.176920265942941,-0.187783026183174,0.231078154179369
6.565,0.176791602867052,-0.188326036797303,0.23130774061738
6.57,0.176678946152152,-0.188784419931855,0.231533244775252
6.575,0.176417076031442,-0.189985740403922,0.232405162317491
6.58,0.176196153958441,-0.19071370596197,0.232971338195756
6.585,0.175915935443598,-0.191555175179032,0.23356601234158
6.59,0.175675512815175,-0.191963407502624,0.234276767171955
6.595,0.175356768343771,-0.192679812568571,0.234820155157588
6.6,0.175070737301642,-0.193511519885645,0.235283043184196
6.605,0.174818946891465,-0.194114440100788,0.235589599053963
6.61,0.174569180813798,-0.194728981672364,0.235829698843387
6.615,0.174368516828041,-0.195369810430412,0.236001958275886
6.62,0.174197496704905,-0.195857208262686,0.236103801394251
6.625,0.174047594455704,-0.196377232777618,0.236091190103923
6.63,0.173943423387467,-0.197001698976915,0.235968903462764
6.635,0.173892970121129,-0.197555865012439,0.235819479408924
6.64,0.1738711509116,-0.198008620345386,0.235679729658537
6.645,0.173918306072386,-0.198512099197513,0.235521696122906
6.65,0.174012427316272,-0.198910913400867,0.235354226914311
6.655,0.174141579939213,-0.199262785200031,0.235166475644262
6.66,0.174340649493007,-0.199581148783264,0.234938223658823
6.665,0.17460540451272,-0.199932787194039,0.234698794681215
6.67,0.174799752162592,-0.200159527478862,0.234546460326288
6.675,0.174935714531301,-0.200296214765414,0.234450395287733
6.68,0.175474392777291,-0.200666367069026,0.234239877249314
6.685,0.175713725044876,-0.200811741823084,0.23412119104051
6.69,0.175986712007086,-0.200984289761044,0.233993095735327
6.695,0.176426663122944,-0.201202385758174,0.23380961488099
6.7,0.177023930913186,-0.20174028273652,0.233575240251305
6.705,0.177598908020172,-0.202184996348052,0.233419363072642
6.71,0.178030990868447,-0.202549609699137,0.233305313241992
6.715,0.178590150062472,-0.202832541579967,0.233207747419947
6.72,0.179222583944664,-0.203115192157425,0.233150624612342
6.725,0.179797759829023,-0.203412117550751,0.233142454348649
6.73,0.180373454107668,-0.203768411547037,0.233145522683081
6.735,0.180977449910086,-0.20427784675932,0.233119154475217
6.74,0.181598657095723,-0.204813658068676,0.233083904076282
6.745,0.18223421787518,-0.205187545849103,0.233118707203824
6.75,0.182874493262444,-0.205550336296608,0.233118061764926
6.755,0.183563063109006,-0.205786004192114,0.233139877136877
6.76,0.184303960718249,-0.206272730476827,0.233192820025481
6.765,0.185007668867148,-0.206699935125531,0.233215126029145
6.77,0.18576485085432,-0.207016679285399,0.233187287572213
6.775,0.186565375609849,-0.20728642309862,0.233152404232593
6.78,0.187372144445211,-0.207709395193469,0.233092833579245
6.785,0.188224905640097,-0.208315417027898,0.232987003581455
6.79,0.18913931820246,-0.208721582156624,0.232935351616582
6.795,0.189995146065901,-0.209135513876824,0.232828737253744
6.8,0.190974023537602,-0.209691121407813,0.232665230476065
6.805,0.191909379107369,-0.210208618295151,0.232523742995244
6.81,0.192875183906475,-0.210650396845232,0.232320837065901
6.815,0.19393437735622,-0.211104944493331,0.232092357160939
6.82,0.194984604190581,-0.21156079006149,0.231912494663517
6.825,0.196059920932372,-0.212018939482732,0.231740504013962
6.83,0.197115520992204,-0.212466667515194,0.231520981819203
6.835,0.198064839550966,-0.212902980130653,0.231279350923106
6.84,0.199442534915298,-0.213621254997467,0.231134243629468
6.845,0.200677599533684,-0.213988543463695,0.231046307760167
6.85,0.2018766279126,-0.214270629368758,0.231095409879606
6.855,0.203094905739084,-0.214775749341876,0.231209165547745
6.86,0.20421425331175,-0.215188336513581,0.231472767137872
6.865,0.205212726212437,-0.215481988723055,0.2317460405204
6.87,0.206278291483825,-0.215841784502228,0.232066694566907
6.875,0.207285942080389,-0.216211934592641,0.232424702854369
6.88,0.208131565677695,-0.216495358767055,0.232767781565494
6.885,0.209186611501032,-0.216832487292804,0.233286108334294
6.89,0.209657118743909,-0.21703684027347,0.233467033692967
6.895,0.210057537127225,-0.217225272453854,0.233607499503704
6.9,0.210457955510541,-0.217413704634238,0.233747965314442
6.905,0.213819767112288,-0.218727875820885,0.234718809634918
6.91,0.214728881839411,-0.219099908381195,0.234820088055543
6.915,0.215539414255755,-0.219506261949056,0.234803745846414
6.92,0.216290108551108,-0.220000053057914,0.234702885928327
6.925,0.216980629994195,-0.220395286730642,0.234596685475207
6.93,0.217650844909859,-0.22061345566757,0.234500584374688
6.935,0.218351544424945,-0.220791353115173,0.234339373732998
6.94,0.218981584374508,-0.221022396046299,0.234108043600353
6.945,0.219525188875391,-0.221169147099581,0.233893183496538
6.95,0.220000556915525,-0.221336975457176,0.233651078882672
6.955,0.220486023844741,-0.221603790379306,0.233416294892736
6.96,0.220945018628475,-0.221821706674729,0.233227717963384
6.965,0.221391833863329,-0.221999540932558,0.23302075765186
6.97,0.221826721396579,-0.22219799947422,0.232784490602742
6.975,0.222189381188633,-0.222364304601578,0.232591171648789
6.98,0.222485753536761,-0.222472840902471,0.232454312139333
6.985,0.223028709302313,-0.222617658136087,0.232196525782948
6.99,0.223376470837109,-0.222723985337815,0.232072058204815
6.995,0.223687910431777,-0.222800866605606,0.231978067706069
7,0.223972604088413,-0.222875936967156,0.231902916158115
7.005,0.22421018181622,-0.222919038192043,0.231833770418392
7.01,0.224444495682049,-0.222898445772783,0.231807088583228
7.015,0.224661405128681,-0.222939362311789,0.231779549204571
7.02,0.224832273217197,-0.222999472830555,0.231764307426722
7.025,0.224972561703983,-0.22303007407846,0.231777881620969
7.03,0.22509732578759,-0.223035642203411,0.231803884867013
7.035,0.225201078815956,-0.223044692987338,0.231816573058164
7.04,0.225281785453648,-0.223075356044773,0.231815949854184
7.045,0.225350851191124,-0.223133134877735,0.231782142302231
7.05,0.225400700065577,-0.223111650238406,0.231737255759172
7.055,0.225424573884754,-0.223186810605948,0.231731737131357
7.06,0.225419082208077,-0.223194894633004,0.23170475067457
7.065,0.225402720742525,-0.223169553020575,0.2316613947306
7.07,0.225342518292073,-0.223044015535403,0.231591138766792
7.075,0.225283035462823,-0.223001790195085,0.2315214279699
7.08,0.22522338072249,-0.222994751436626,0.231430561990578
7.085,0.225161692097035,-0.222971356468356,0.231350370804159
7.09,0.225132517495608,-0.222962764464907,0.231307517593533
7.095,0.225105144730821,-0.222954992800533,0.231266733549517
7.1,0.225077771966034,-0.222947221136159,0.2312259495055
7.105,0.224837909819257,-0.222919676928349,0.23088077474459
7.11,0.22470512294424,-0.222898954467615,0.230696788338368
7.115,0.224585012498905,-0.22290882319361,0.230553838141829
7.12,0.224502137082518,-0.22303049904144,0.230346155626816
7.125,0.224409432403903,-0.223129725784337,0.230160750798068
7.13,0.22430449216684,-0.223188287752691,0.230047304320431
7.135,0.224203500339518,-0.223305959831117,0.229943739758101
7.14,0.224098154723409,-0.22343376480251,0.229852595242456
7.145,0.224035198991648,-0.223549067428322,0.229760054301307
7.15,0.22395827586055,-0.223709234510026,0.229675499915926
7.155,0.223842005328582,-0.223877806934434,0.22975912608327
7.16,0.223752344899021,-0.223952832937312,0.229987010588727
7.165,0.223602873015776,-0.224126879539198,0.230344503829951
7.17,0.223462650445918,-0.224461534174048,0.230834656718846
7.175,0.223353354730073,-0.224830599784364,0.231409672508545
7.18,0.223227603091731,-0.225140114268005,0.2319353492378
7.185,0.223073527239003,-0.225413287214686,0.232367677460925
7.19,0.222596039341517,-0.225734660774223,0.233340151709069
7.195,0.22231965243938,-0.225993740707586,0.233880219360339
