Time,orient_mocap_X,orient_mocap_Y,orient_mocap_Z
40.185,0.019073164967445,0.107809394530246,3.32790844673766
40.19,0.0178243938513573,0.109805143470655,3.32809914367897
40.195,0.0167087586588243,0.112767135535504,3.32832237345894
40.2,0.0190761115846756,0.113443080571412,3.3284881911296
40.205,0.0190708507864327,0.11536763844398,3.32864079023198
40.21,0.0195400004455131,0.117241106456672,3.32878620907441
40.215,0.0202261211570474,0.118658030230651,3.32901996917492
40.22,0.020561225948967,0.119686767285415,3.3294209572863
40.225,0.0208651722003101,0.120397588836875,3.32994056996312
40.23,0.0211724674338906,0.120847997923822,3.33070449659619
40.235,0.0213660493018949,0.120988408584157,3.33158353450158
40.24,0.021994133711529,0.120912701940101,3.33242512226465
40.245,0.0227288496348546,0.120568900646263,3.33333099975276
40.25,0.0229960312324796,0.120253524974253,3.33438195204091
40.255,0.0232818512213514,0.120450409376362,3.3355205152183
40.26,0.0241031532446873,0.120336829911516,3.3368041112182
40.265,0.0241496872199847,0.120164124776938,3.33816588001075
40.27,0.0231903326697762,0.120002737377372,3.3396231928494
40.275,0.0225352020629872,0.119455507213609,3.34115473142931
40.28,0.0211747530665529,0.119021164755588,3.3428241054894
40.285,0.0195137770920602,0.118031327996973,3.34452572470025
40.29,0.017048064433374,0.116963065222585,3.34625185170185
40.295,0.0156648234961576,0.116265997983923,3.34799890499524
40.3,0.0148635123278077,0.116152445523498,3.34975141924602
40.305,0.0135702329905744,0.115496227821369,3.35155090016477
40.31,0.0116599716940882,0.114136660204192,3.35331807871358
40.315,0.00960103028081285,0.11313614708092,3.35498060688092
40.32,0.00800725234728436,0.112787134322436,3.35669940436749
40.325,0.00712286950715985,0.112480097308648,3.3583428687772
40.33,0.0065400655373802,0.111663016260336,3.35995140774581
40.335,0.00589138179288485,0.111004866736944,3.36151188230751
40.34,0.00363605937102558,0.109433666341334,3.36310302086865
40.345,0.00396395809421642,0.109482333879786,3.36466754937711
40.35,0.00395769440005102,0.108544113602729,3.36612636531473
40.355,0.00289335311020879,0.107866130993179,3.36756274140211
40.36,0.00291824262351893,0.107073920430779,3.36911685056952
40.365,0.00281640545127987,0.106178719296256,3.37076998288152
40.37,0.0024651395899175,0.105273727143964,3.37238053052521
40.375,0.00226080178158745,0.104611233680178,3.37386470294297
40.38,0.00172882840767208,0.104029204616941,3.37524679167024
40.385,0.00282640036515273,0.102553370465951,3.37644462624159
40.39,0.00149315220082826,0.102228672469269,3.37762097401619
40.395,0.0016655726228579,0.101079344316278,3.37884092795998
40.4,0.000884446394101585,0.100201118132526,3.38012824472113
40.405,0.000758653297540369,0.0994367520765449,3.38139459318332
40.41,0.000556581769990448,0.0987907107209615,3.38245066493728
40.415,0.000892901109058046,0.0981553188396957,3.38338872507315
40.42,0.00103051414923384,0.0971418775406904,3.38420957136821
40.425,8.57344779086582e-05,0.0962436573347253,3.38515153438182
40.43,-0.000296107910677356,0.096032658760811,3.38606678093906
40.435,-0.00155750285114087,0.0948686410882138,3.38736647909995
40.44,-0.00252880857119721,0.0937183072998749,3.38865371835571
40.445,-0.00439229726520063,0.0920480999018136,3.38976749767555
40.45,-0.00676335013934691,0.089968060301151,3.39071300506485
40.455,-0.00944834585095618,0.0886648935444091,3.39148394370888
40.46,-0.0102283475343679,0.0881608863142743,3.3921818650712
40.465,-0.0101506637478533,0.087900960168847,3.39280347184755
40.47,-0.0100729131135274,0.0876410611808989,3.39331038570778
40.475,-0.0099950956192633,0.0873811893310111,3.39360324225437
40.48,-0.00991721125291027,0.0871213445997784,3.3955888435703
40.485,-0.00983926000229313,0.0868615269678081,3.39743530613158
40.49,-0.00976124185521211,0.086601736415719,3.39917915361813
40.495,-0.00968315679944358,0.0863419729241438,3.4008500385966
40.5,0.0222438902809762,0.0873593633471551,3.40288422049882
40.505,0.0280558208246599,0.0881729603871014,3.40499618308067
40.51,0.0313250268592876,0.0885371227732841,3.40732879099283
40.515,0.0341386258436618,0.0887756075152789,3.40957347958136
40.52,0.035546178624722,0.0882644558846135,3.41189988480146
40.525,0.036128648057284,0.0877005745594077,3.41423814340145
40.53,0.036062135854518,0.0864541813942986,3.41483589221134
40.535,0.0358376129845054,0.0843411779371643,3.41511749752343
40.54,0.0386900622665341,0.083011088074551,3.41529177971592
40.545,0.0394242261226378,0.0819621184641022,3.41546391266086
