Time,FL0_ang,FL1_ang,FL2_ang,FR0_ang,FR1_ang,FR2_ang,RL0_ang,RL1_ang,RL2_ang,RR0_ang,RR1_ang,RR2_ang
22.37,-0.0238367853716814,1.00342071848797,-1.98552548441183,0.0573798239229036,1.05518831044313,-1.77379557876306,-0.14124343377131,0.881553603318903,-1.66276673825881,0.30023131435562,0.995249048448832,-1.9665290756117
22.375,-0.0258966751136037,0.990455694339914,-1.96513966499685,0.058594807898025,1.05683549798692,-1.77373925273049,-0.140661950378415,0.883439768259779,-1.66291705647712,0.294947989362399,0.980149473875224,-1.94391371251538
22.38,-0.0280121149705267,0.976095519429907,-1.94290660917328,0.0597311828698106,1.05864318513605,-1.77356360512546,-0.14039093307726,0.885423337760188,-1.663003368499,0.289180465828355,0.963868015950883,-1.91910247035744
22.385,-0.030249372099246,0.961558123461774,-1.9206409114509,0.0607287952522811,1.06034625092665,-1.77330630699286,-0.140164612137395,0.887492955974731,-1.66314991434217,0.283412603808577,0.947446042600716,-1.89430171124906
22.39,-0.0325947221869504,0.948267109645669,-1.90020805022824,0.0615533518724008,1.06164091312024,-1.77317965557849,-0.139776650003271,0.889286192203931,-1.66339505938225,0.278117823067144,0.932261537743175,-1.87159694608633
22.395,-0.0351245534605459,0.935636243386628,-1.88026300182777,0.0622916629388885,1.06281513127974,-1.77312209568774,-0.139344847064153,0.890887386884852,-1.66361996150008,0.272839657434002,0.917264948765337,-1.84910274856263
22.4,-0.0375526697511002,0.925466515969446,-1.86177090228316,0.062876602440903,1.06399141506557,-1.77305891182049,-0.139006969933449,0.892369480256296,-1.66381382216836,0.267674455911608,0.902556825694418,-1.82729092132201
22.405,-0.0393660587043509,0.918180265853223,-1.84779733398044,0.0633119531437027,1.06508840991652,-1.77287554706538,-0.138708988263151,0.893905382914448,-1.66410918600655,0.262404467299153,0.887830935738634,-1.80624651443789
22.41,-0.0404210654083923,0.912499384499832,-1.838851772988,0.0636415959347534,1.06604195155102,-1.7727379494877,-0.138586663900384,0.895479013883894,-1.6645028095708,0.256656027460628,0.873458712738568,-1.78635473313136
22.415,-0.0414592569031588,0.90919822738517,-1.83345843819937,0.0637937722066362,1.06709014058105,-1.77259789457732,-0.138651119126923,0.896957734734709,-1.66480466411067,0.250319444126999,0.859834303215261,-1.76724749712058
22.42,-0.0431785865290523,0.908209244409184,-1.83089240722407,0.0636110530400353,1.06816843737277,-1.77234008481505,-0.138852320777876,0.898220903458145,-1.66486493724402,0.243287287688106,0.847307524054106,-1.74846791164083
